id;Balise_Mere;title;label ;propriete de;aspect de;discipline;count
Q7493941;;abri;bâtiment rudimentaire permettant de se protéger des intempéries ou de menaces extérieures;{Q811979, Q108147624};null;null;1
Q1065579;PRODUIT;accessoire de mode;type de vêtement;{Q11460, Q362200};null;null;2
Q101244;;acronyme;nom constitué des premières lettres de mots consécutifs;{Q102786};null;null;2
Q740464;JUSTICE;acte de droit;acte juridique normatif ayant force de loi d'intérêt général dans la région où il est proclamé ou promulgué;{Q846882, Q1864008, Q1572600, Q49848, Q3150005, Q17537576};null;null;1
Q1864008;JUSTICE;acte juridique;acte visant à la création d'une conséquence juridique, une activité légale;{Q2135540, Q1856757, Q15621286, Q451967};null;null;1
Q451967;;action;activité humaine basée sur un motif quelconque;{Q61788060};null;Q7748;2
Q4026292;;action;ce qui peut être fait par un agent;{Q1190554};null;Q175661;1
Q1914636;TRAVAIL;activité;action de faire quelque chose;{Q4026292, Q20937557};null;null;45
Q8187769;TRAVAIL;activité économique;type d'activité humaine;{Q451967, Q12737077};null;null;9
Q61788060;TRAVAIL;activité humaine;type d'áctivité;{Q1914636, Q3769299};null;null;2
Q131790;PRODUIT;adhésif;matériau qui permet de faire adhérer entre eux des objets;{Q1726215};null;null;1
Q34698;LINGUISTIQUE;adjectif;en grammaire, mot qui décrit la qualité ou la propriété d'un nom;{Q8171, Q503992};null;null;1
Q21281706;;administrateur académique;Pas de descriptions;{Q599151, Q5428874, Q2920921};null;null;1
Q1124198;EE;affection;émotion associée à un sentiment ou type d'amour;{Q205555};null;null;1
Q785260;CREATURE;âge de la vie;Pas de descriptions;{Q20056177};null;null;6
Q327333;;agence publique;entité publique autonome chargée de la réalisation d'une mission d'intérêt général;{Q2659904, Q783794};null;null;1
Q1415187;;agent économique;personne physique ou morale prenant des décisions d'ordre économique;{Q24229398, Q830077};null;null;1
Q3622002;TOPONYMIE;aire géographique;Pas de descriptions;{Q82794};null;null;1
Q482994;MUSIQUE;album;ensemble de titres d'un artiste;{Q108346082, Q49017950};null;null;55
Q2831984;;album de bande dessinée;livre contenant une ou plusieurs bandes dessinées;{Q571, Q1004, Q14406742};null;null;13
Q101497;;aldéhyde;Composé organique;{Q9392635};null;null;3
Q335268;;alkyle;groupe univalent dérivé des alcanes;{Q10400865};null;null;2
Q18535;;allégorie;forme de représentation indirecte;{Q843227, Q182545};null;null;1
Q37756;;alliage;produit métallurgique;{Q169336, Q5447188, Q1924900};null;null;1
Q518350;;alliage de cuivre;alliage contenant majoritairement du cuivre;{Q37756};null;null;2
Q954007;;alliance;Pas de descriptions;{Q11666901};null;null;3
Q1127126;;alliance militaire;type d'alliance;{Q878249, Q17149090};null;null;2
Q754659;;allure;façon que le cheval a de se déplacer;{Q2370000};null;null;2
Q9779;LINGUISTIQUE;alphabet;ensemble des lettres;{Q8192, Q28813620, Q4563817};null;null;1
Q816335;;altération;modification de la hauteur initiale d'une note;{Q263478};null;null;3
Q2266426;;altération visuelle;Pas de descriptions;{Q767669};null;null;1
Q420401;;ammonium quaternaire;Pas de descriptions;{Q74244141};null;null;1
Q23702035;;ancien parti politique libéral;type de parti politique libéral;{Q23702026, Q40482169};null;null;1
Q22670030;;ancienne région française;ancienne collectivité territoriale française;{Q36784, Q19953632};null;null;1
Q2534228;;ancienne unité de longueur;Pas de descriptions;{Q1978718, Q28607529};null;null;4
Q581450;CREATURE;ange déchu;ange exilé ou banni du Paradis;{Q690175, Q10822464, Q1266031};null;null;1
Q450539;;angle de prise de vue;Pas de descriptions;{Q2252759};null;null;1
Q622852;CREATURE;animal domestique;Pas de descriptions;{Q729};null;null;1
Q350945;CREATURE;animal héraldique;représentation des animaux sur les armoiries et autres motifs héraldiques;{Q3744880, Q80071};null;null;1
Q756230;;annuaire;liste ordonnée de références régulièrement mise à jour;{Q228502, Q1220872};null;null;1
Q506674;;antimilitarisme;idéologie qui s'oppose au militarisme;{Q58848};Q794691;null;1
Q102090;;Apaches;tribus amérindiennes d'Amérique du Nord;{Q36747};null;null;1
Q1183543;PRODUIT;appareil;équipement complexe, tel qu'un moteur ou qui fonctionne par l'électricité ou une autre source d'énergie qu'il convertit;{Q10273457, Q39546, Q16686448};null;null;5
Q1780509;PRODUIT;appareil de communication;Pas de descriptions;{Q1183543, Q10273457};null;null;1
Q2858615;PRODUIT;appareil électronique;objet qui peut effectuer une ou des tâches en traitant des informations codées sous la forme de signaux électriques;{Q11019, Q2425052};null;null;1
Q1273786;PRODUIT;appareillage électrique;ensemble du matériel permettant la mise sous ou hors tension des portions d'un réseau électrique;{Q11660269};Q5320;null;1
Q1565828;;appellation d'origine contrôlée;label officiel français de protection d'un produit lié à son origine géographique et à certaines caractéristiques de fabrication;{Q13439060};Q325668;null;1
Q166142;;application;programme informatique qui a pour objectif de résoudre un problème spécifique.;{Q7397};null;null;1
Q1347367;;aptitude;pouvoir de réaliser ou de produire quelque chose;{Q1207505};null;null;4
Q131714;;archétype;modèle général représentatif d'un sujet;{Q21146257};null;null;1
Q4070702;;archétype littéraire;ensemble d'éléments récurrents dans le récit, symboles, images et types de personnages dans les œuvres narratives;{Q131714};null;null;2
Q33837;;archipel;groupe d'iles;{Q205895, Q1402592};null;null;2
Q26382;;arête;ligne d'intersection de deux surfaces;{Q166154, Q747980};null;null;1
Q3462602;;argot;sociolecte (souvent secret) par lequel l'individu affiche son appartenance au groupe;{Q33005, Q33215};null;null;1
Q8102;;argot;registre de langue ou parler particulier à un groupe social;{Q207101, Q6499736};null;null;1
Q728;;arme;dispositif destiné à neutraliser, blesser ou tuer un être vivant, ou à causer une destruction matérielle;{Q39546, Q18643213};null;null;2
Q663208;;Arrondi;valeur approchée d'un nombre;{Q3884033};null;null;1
Q408804;TOPONYMIE;arrondissement;subdivisions territoriales de la ville de New York;{Q47682, Q4946305, Q2983893};null;null;1
Q735;;art;activité et concept;{Q1914636, Q2018526, Q184872, Q3249551};null;Q50637;1
Q11417;;art martial;discipline de combat;{Q7128792};null;null;2
Q220659;;artéfact archéologique;chose faite par l'homme et d'intérêt archéologique;{Q1791627, Q10855061};null;null;1
Q1791627;COMPOSANTS;artéfact culturel;Pas de descriptions;{Q8205328, Q210272};null;null;1
Q9655;;artère;vaisseau qui conduit le sang du cœur aux autres tissus de l'organisme;{Q66392784};null;null;1
Q708176;;arthropathie;terme générique pour toutes les maladies des joints;{Q18967642, Q4941552};null;null;1
Q5707594;;article de presse;article publié dans le journal;{Q191067, Q38926};null;null;1
Q21484471;;article de Wikipedia couvrant plusieurs sujets;type d'article de Wikipedia;{Q50081413, Q14946528};null;null;4
Q10528974;;article d'hygiène personnelle;Pas de descriptions;{Q2424752};null;null;5
Q9644;;articulation;jonction entre deux os;{Q66561296, Q109321311};null;null;1
Q372923;;articulation;art d'imiter les inflexions de la voix humaine, dans la pratique d'un instrument de musique;{Q1639408};null;null;2
Q877729;;artisanat;production de produits ou services grâce à un savoir-faire particulier et hors contexte industriel;{Q1914636, Q29028649, Q2207288};null;null;1
Q810592;;artisanat d'art;Pas de descriptions;{Q1914636};null;null;1
Q74817647;;aspect dans une région géographique;type d'aspect, thématique déclinée géographiquement;{Q21040055, Q20136634};Q82794;null;1
Q17524420;;aspect de l'histoire;sujet vu d'un point de vue historique;{Q21040055, Q1047113};null;Q1066186;1
Q10553309;;assemblée législative;assemblée délibérante faisant partie d'une législature;{Q1752346, Q15708736};null;null;1
Q57216;;assiette;pièce de vaisselle qui permet de contenir et de servir des mets;{Q99513137};null;null;1
Q48204;;association;groupement de personnes physiques et / ou morales volontaire à long terme et stable pour répondre à un but précis;{Q79913, Q15911314};null;null;1
Q15911314;ENTITE;association;type d'organisation formé par un groupe d'individus (personnes physiques) ou des entités (personnes morales) de toutes sortes;{Q43229, Q16334295, Q16887380, Q24229398};null;null;1
Q9262;;astérisme;figure remarquable dessinée par des étoiles particulièrement brillantes;{Q6999};null;null;1
Q622645;;attitude;état d'esprit d'un sujet vis-à-vis d'un autre objet;{Q1149305, Q3962655};null;null;2
Q25413611;;attribut;accessoire symbolique d'un dieu dans une mythologie;{Q80071, Q109244978};Q9134;null;1
Q44476427;;attribut médical;Pas de descriptions;{Q2722260, Q937228, Q18208034};null;null;1
Q174834;;autorité;pouvoir de commander;{Q25107, Q780687};null;null;1
Q610548;;baby boom;augmentation importante de la natalité dans certains pays;{Q11514315, Q595523};null;null;1
Q13184;;baie;type de fruit charnu, en général indéhiscent et contenant une ou plusieurs graines;{Q15197056};null;null;1
Q1004;;bande dessinée;art consistant à raconter une histoire avec des dessins;{Q4502142, Q7725634, Q7452501, Q1318295};null;null;4
Q4335775;;bande organisée;notion de droit pénal;{Q275186, Q1788992};null;null;1
Q101696002;;Bande organisée;chanson de 13'Organisé, sortie en 2020;{null};null;null;1
Q1789476;;base de données bibliographiques;Pas de descriptions;{Q1865123, Q2352616, Q59156132};null;null;1
