id;title;redirect_id;redirect_title;wikibase_item;pageviews;extracts;thumbnail;link;msg_erreur1;P31;P361;P279;P8225;P106;site_officiel;msg_erreur2;balise_mere
9571538;(14466) Hodge;0;null;Q603652;2;(14466) Hodge est un astéroïde de la ceinture principale d'astéroïdes.;null;https://fr.wikipedia.org/wiki/(14466)_Hodge;Pas de message d'erreur Wikipedia;{Q3863};{null};{null};{null};{null};null;Pas de message d'erreur Wikidata;null
10646312;(14467) Vranckx;0;null;Q1480536;2;(14467) Vranckx est un astéroïde de la ceinture principale d'astéroïdes.;null;https://fr.wikipedia.org/wiki/(14467)_Vranckx;Pas de message d'erreur Wikipedia;{Q3863};{null};{null};{null};{null};null;Pas de message d'erreur Wikidata;null
9524518;(14468) Ottostern;0;null;Q1480541;2;(14468) Ottostern est un astéroïde de la ceinture principale d'astéroïdes.;null;https://fr.wikipedia.org/wiki/(14468)_Ottostern;Pas de message d'erreur Wikipedia;{Q3863};{null};{null};{null};{null};null;Pas de message d'erreur Wikidata;null
9533574;(14469) Komatsuataka;13394248;(14469)_1993_RK;Q18608376;2;(14469) Komatsuataka est un astéroïde de la ceinture principale d'astéroïdes.;null;https://fr.wikipedia.org/wiki/(14469)_Komatsuataka;Pas de message d'erreur Wikipedia;{Q3863};{null};{null};{null};{null};null;Pas de message d'erreur Wikidata;null
9533574;(14469) Komatsuataka;0;null;Q18608376;2;(14469) Komatsuataka est un astéroïde de la ceinture principale d'astéroïdes.;null;https://fr.wikipedia.org/wiki/(14469)_Komatsuataka;Pas de message d'erreur Wikipedia;{Q3863};{null};{null};{null};{null};null;Pas de message d'erreur Wikidata;null
9553127;(144692) Katemary;0;null;Q2756254;2;(144692) Katemary est un astéroïde de la ceinture principale d'astéroïdes.;null;https://fr.wikipedia.org/wiki/(144692)_Katemary;Pas de message d'erreur Wikipedia;{Q3863};{null};{null};{null};{null};null;Pas de message d'erreur Wikidata;null
7650716;(1447) Utra;0;null;Q139265;2;(1447) Utra est un astéroïde de la ceinture principale.<p>Il a été découvert par Yrjö Väisälä le 26 janvier 1938 à Turku.;null;https://fr.wikipedia.org/wiki/(1447)_Utra;Pas de message d'erreur Wikipedia;{Q3863};{null};{null};{null};{null};null;Pas de message d'erreur Wikidata;null
11895810;(14470) 1993 RV7;0;null;Q1480539;3;(14470) 1993 RV7 est un astéroïde de la ceinture principale d'astéroïdes de 4,144 km de diamètre découvert en 1993.;null;https://fr.wikipedia.org/wiki/(14470)_1993_RV7;Pas de message d'erreur Wikipedia;{Q3863};{null};{null};{null};{null};null;Pas de message d'erreur Wikidata;null
11895812;(14471) 1993 SG1;0;null;Q4541406;2;(14471) 1993 SG1 est un astéroïde de la ceinture principale d'astéroïdes de 5,465 km de diamètre découvert en 1993.;null;https://fr.wikipedia.org/wiki/(14471)_1993_SG1;Pas de message d'erreur Wikipedia;{Q3863};{null};{null};{null};{null};null;Pas de message d'erreur Wikidata;null
10445714;(144716) Scotttucker;0;null;Q28145872;2;(144716) Scotttucker est un astéroïde de la ceinture principale d'astéroïdes.;null;https://fr.wikipedia.org/wiki/(144716)_Scotttucker;Pas de message d'erreur Wikipedia;{Q3863};{null};{null};{null};{null};null;Pas de message d'erreur Wikidata;null
11895814;(14472) 1993 SQ14;0;null;Q19625789;4;(14472) 1993 SQ14 est un objet de la ceinture principale d'astéroïdes intérieure découvert en 1993.;null;https://fr.wikipedia.org/wiki/(14472)_1993_SQ14;Pas de message d'erreur Wikipedia;{Q3863};{null};{null};{null};{null};null;Pas de message d'erreur Wikidata;null
11895816;(14473) 1993 TL17;0;null;Q1480542;3;(14473) 1993 TL17 est un astéroïde de la ceinture principale d'astéroïdes de 5,271 km de diamètre découvert en 1993.;null;https://fr.wikipedia.org/wiki/(14473)_1993_TL17;Pas de message d'erreur Wikipedia;{Q3863};{null};{null};{null};{null};null;Pas de message d'erreur Wikidata;null
11895818;(14474) 1993 TL25;0;null;Q1480544;2;(14474) 1993 TL25 est un astéroïde de la ceinture principale d'astéroïdes découvert en 1993.;null;https://fr.wikipedia.org/wiki/(14474)_1993_TL25;Pas de message d'erreur Wikipedia;{Q3863};{null};{null};{null};{null};null;Pas de message d'erreur Wikidata;null
11895820;(14475) 1993 VT;0;null;Q19625793;2;(14475) 1993 VT est un astéroïde de la ceinture principale d'astéroïdes de 8,222 km de diamètre découvert en 1993.;null;https://fr.wikipedia.org/wiki/(14475)_1993_VT;Pas de message d'erreur Wikipedia;{Q3863};{null};{null};{null};{null};null;Pas de message d'erreur Wikidata;null
9553036;(144752) Plunge;0;null;Q3597453;4;(144752) Plunge est un astéroïde de la ceinture principale d'astéroïdes.;null;https://fr.wikipedia.org/wiki/(144752)_Plunge;Pas de message d'erreur Wikipedia;{Q3863};{null};{null};{null};{null};null;Pas de message d'erreur Wikidata;null
11895822;(14476) 1993 XW2;0;null;Q19625794;4;(14476) 1993 XW2 est un astéroïde de la ceinture principale d'astéroïdes de 6,292 km de diamètre découvert en 1993.;null;https://fr.wikipedia.org/wiki/(14476)_1993_XW2;Pas de message d'erreur Wikipedia;{Q3863};{null};{null};{null};{null};null;Pas de message d'erreur Wikidata;null
9567424;(144769) Zachariassen;0;null;Q14424818;2;(144769) Zachariassen est un astéroïde de la ceinture principale d'astéroïdes.;null;https://fr.wikipedia.org/wiki/(144769)_Zachariassen;Pas de message d'erreur Wikipedia;{Q3863};{null};{null};{null};{null};null;Pas de message d'erreur Wikidata;null
11895824;(14477) 1994 CN;0;null;Q19625795;3;(14477) 1994 CN est un astéroïde de la ceinture principale d'astéroïdes de 6,889 km de diamètre découvert en 1994.;null;https://fr.wikipedia.org/wiki/(14477)_1994_CN;Pas de message d'erreur Wikipedia;{Q3863};{null};{null};{null};{null};null;Pas de message d'erreur Wikidata;null
11895826;(14478) 1994 CF2;0;null;Q19625796;1;(14478) 1994 CF2 est un astéroïde de la ceinture principale d'astéroïdes de 10,723 km de diamètre découvert en 1994.;null;https://fr.wikipedia.org/wiki/(14478)_1994_CF2;Pas de message d'erreur Wikipedia;{Q3863};{null};{null};{null};{null};null;Pas de message d'erreur Wikidata;null
